,Time_Obs,Obs
453,1917-Oct,
454,1917-Nov,
455,1917-Dec,
456,1918-Jan,
457,1918-Feb,
458,1918-Mar,
459,1918-Apr,
460,1918-May,
461,1918-Jun,
462,1918-Jul,
463,1918-Aug,
464,1918-Sep,
465,1918-Oct,
466,1918-Nov,
467,1918-Dec,
468,1919-Jan,
469,1919-Feb,
470,1919-Mar,
471,1919-Apr,
472,1919-May,
473,1919-Jun,
474,1919-Jul,
475,1919-Aug,
476,1919-Sep,
477,1919-Oct,
478,1919-Nov,
479,1919-Dec,
480,1920-Jan,
481,1920-Feb,
482,1920-Mar,
483,1920-Apr,
484,1920-May,
485,1920-Jun,
486,1920-Jul,
487,1920-Aug,
488,1920-Sep,
489,1920-Oct,
490,1920-Nov,
491,1920-Dec,
492,1921-Jan,
493,1921-Feb,
494,1921-Mar,
495,1921-Apr,
496,1921-May,
497,1921-Jun,
498,1921-Jul,
499,1921-Aug,
500,1921-Sep,
501,1921-Oct,
502,1921-Nov,
503,1921-Dec,
504,1922-Jan,
505,1922-Feb,
506,1922-Mar,
507,1922-Apr,
508,1922-May,
509,1922-Jun,
510,1922-Jul,
511,1922-Aug,
512,1922-Sep,
513,1922-Oct,
514,1922-Nov,
515,1922-Dec,
516,1923-Jan,
517,1923-Feb,
518,1923-Mar,
519,1923-Apr,
520,1923-May,
521,1923-Jun,
522,1923-Jul,
523,1923-Aug,
524,1923-Sep,
525,1923-Oct,
526,1923-Nov,
527,1923-Dec,
528,1924-Jan,
529,1924-Feb,
530,1924-Mar,
531,1924-Apr,
532,1924-May,
533,1924-Jun,
534,1924-Jul,
535,1924-Aug,
536,1924-Sep,
537,1924-Oct,
538,1924-Nov,
539,1924-Dec,
540,1925-Jan,
541,1925-Feb,
542,1925-Mar,
543,1925-Apr,
544,1925-May,
545,1925-Jun,
546,1925-Jul,
547,1925-Aug,
548,1925-Sep,
549,1925-Oct,
550,1925-Nov,
551,1925-Dec,
552,1926-Jan,
553,1926-Feb,
554,1926-Mar,
555,1926-Apr,
556,1926-May,
557,1926-Jun,
558,1926-Jul,
559,1926-Aug,
560,1926-Sep,
561,1926-Oct,
562,1926-Nov,
563,1926-Dec,
564,1927-Jan,
565,1927-Feb,
566,1927-Mar,
567,1927-Apr,
568,1927-May,
569,1927-Jun,
570,1927-Jul,
571,1927-Aug,
572,1927-Sep,
573,1927-Oct,
574,1927-Nov,
575,1927-Dec,
576,1928-Jan,
577,1928-Feb,
578,1928-Mar,
579,1928-Apr,
580,1928-May,
581,1928-Jun,
582,1928-Jul,
583,1928-Aug,
584,1928-Sep,
585,1928-Oct,
586,1928-Nov,
587,1928-Dec,
588,1929-Jan,
589,1929-Feb,
590,1929-Mar,
591,1929-Apr,
592,1929-May,
593,1929-Jun,
594,1929-Jul,
595,1929-Aug,
596,1929-Sep,
597,1929-Oct,
598,1929-Nov,
599,1929-Dec,
600,1930-Jan,
601,1930-Feb,
602,1930-Mar,
603,1930-Apr,
604,1930-May,
605,1930-Jun,
606,1930-Jul,
607,1930-Aug,
608,1930-Sep,
609,1930-Oct,
610,1930-Nov,
611,1930-Dec,
612,1931-Jan,
613,1931-Feb,
614,1931-Mar,
615,1931-Apr,
616,1931-May,
617,1931-Jun,
618,1931-Jul,
619,1931-Aug,
620,1931-Sep,
621,1931-Oct,
622,1931-Nov,
623,1931-Dec,
624,1932-Jan,
625,1932-Feb,
626,1932-Mar,
627,1932-Apr,
628,1932-May,
629,1932-Jun,
630,1932-Jul,
631,1932-Aug,
632,1932-Sep,
633,1932-Oct,
634,1932-Nov,
635,1932-Dec,
636,1933-Jan,
637,1933-Feb,
638,1933-Mar,
639,1933-Apr,
640,1933-May,
641,1933-Jun,
642,1933-Jul,
643,1933-Aug,
644,1933-Sep,
645,1933-Oct,
646,1933-Nov,
647,1933-Dec,
648,1934-Jan,
649,1934-Feb,
650,1934-Mar,
651,1934-Apr,
652,1934-May,
653,1934-Jun,
654,1934-Jul,
655,1934-Aug,
656,1934-Sep,
657,1934-Oct,
658,1934-Nov,
659,1934-Dec,
660,1935-Jan,
661,1935-Feb,
662,1935-Mar,
663,1935-Apr,
664,1935-May,
665,1935-Jun,
666,1935-Jul,
667,1935-Aug,
668,1935-Sep,
669,1935-Oct,
670,1935-Nov,
671,1935-Dec,
672,1936-Jan,
673,1936-Feb,
674,1936-Mar,
675,1936-Apr,
676,1936-May,
677,1936-Jun,
678,1936-Jul,
679,1936-Aug,
680,1936-Sep,
681,1936-Oct,
682,1936-Nov,
683,1936-Dec,
684,1937-Jan,
685,1937-Feb,
686,1937-Mar,
687,1937-Apr,
688,1937-May,
689,1937-Jun,
690,1937-Jul,
691,1937-Aug,
692,1937-Sep,
693,1937-Oct,
694,1937-Nov,
695,1937-Dec,
696,1938-Jan,
697,1938-Feb,
698,1938-Mar,
699,1938-Apr,
700,1938-May,
701,1938-Jun,
702,1938-Jul,
703,1938-Aug,
704,1938-Sep,
705,1938-Oct,
706,1938-Nov,
707,1938-Dec,
708,1939-Jan,
709,1939-Feb,
710,1939-Mar,
711,1939-Apr,
712,1939-May,
713,1939-Jun,
714,1939-Jul,
715,1939-Aug,
716,1939-Sep,
717,1939-Oct,
718,1939-Nov,
719,1939-Dec,
720,1940-Jan,
721,1940-Feb,
722,1940-Mar,
723,1940-Apr,
724,1940-May,
725,1940-Jun,
726,1940-Jul,
727,1940-Aug,
728,1940-Sep,
729,1940-Oct,
730,1940-Nov,
731,1940-Dec,
732,1941-Jan,
733,1941-Feb,
734,1941-Mar,
735,1941-Apr,
736,1941-May,
737,1941-Jun,
738,1941-Jul,
739,1941-Aug,
740,1941-Sep,
741,1941-Oct,
742,1941-Nov,
743,1941-Dec,
744,1942-Jan,
745,1942-Feb,
746,1942-Mar,
747,1942-Apr,
748,1942-May,
749,1942-Jun,
750,1942-Jul,
751,1942-Aug,
752,1942-Sep,
753,1942-Oct,
754,1942-Nov,
755,1942-Dec,
756,1943-Jan,
757,1943-Feb,
758,1943-Mar,
759,1943-Apr,
760,1943-May,
761,1943-Jun,
762,1943-Jul,
763,1943-Aug,
764,1943-Sep,
765,1943-Oct,
766,1943-Nov,
767,1943-Dec,
768,1944-Jan,
769,1944-Feb,
770,1944-Mar,
771,1944-Apr,
772,1944-May,
773,1944-Jun,
774,1944-Jul,
775,1944-Aug,
776,1944-Sep,
777,1944-Oct,
778,1944-Nov,
779,1944-Dec,
780,1945-Jan,
781,1945-Feb,
782,1945-Mar,
783,1945-Apr,
784,1945-May,
785,1945-Jun,
786,1945-Jul,
787,1945-Aug,
788,1945-Sep,
789,1945-Oct,
790,1945-Nov,
791,1945-Dec,
792,1946-Jan,
793,1946-Feb,
794,1946-Mar,
795,1946-Apr,
796,1946-May,
797,1946-Jun,
798,1946-Jul,
799,1946-Aug,
800,1946-Sep,
801,1946-Oct,
802,1946-Nov,
803,1946-Dec,
804,1947-Jan,
805,1947-Feb,
806,1947-Mar,
807,1947-Apr,
808,1947-May,
809,1947-Jun,
810,1947-Jul,
811,1947-Aug,
812,1947-Sep,
813,1947-Oct,
814,1947-Nov,
815,1947-Dec,
816,1948-Jan,
817,1948-Feb,
818,1948-Mar,
819,1948-Apr,
820,1948-May,
821,1948-Jun,
822,1948-Jul,
823,1948-Aug,
824,1948-Sep,
825,1948-Oct,
826,1948-Nov,
827,1948-Dec,
828,1949-Jan,
829,1949-Feb,
830,1949-Mar,
831,1949-Apr,
832,1949-May,
833,1949-Jun,
834,1949-Jul,
835,1949-Aug,
836,1949-Sep,
837,1949-Oct,
838,1949-Nov,
839,1949-Dec,
840,1950-Jan,
841,1950-Feb,
842,1950-Mar,
843,1950-Apr,
844,1950-May,
845,1950-Jun,
846,1950-Jul,
847,1950-Aug,
848,1950-Sep,
849,1950-Oct,
850,1950-Nov,
851,1950-Dec,
852,1951-Jan,
853,1951-Feb,
854,1951-Mar,
855,1951-Apr,
856,1951-May,
857,1951-Jun,
858,1951-Jul,
859,1951-Aug,
860,1951-Sep,
861,1951-Oct,
862,1951-Nov,
863,1951-Dec,
864,1952-Jan,
865,1952-Feb,
866,1952-Mar,
867,1952-Apr,
868,1952-May,
869,1952-Jun,
870,1952-Jul,
871,1952-Aug,
872,1952-Sep,
873,1952-Oct,
874,1952-Nov,
875,1952-Dec,
876,1953-Jan,
877,1953-Feb,
878,1953-Mar,
879,1953-Apr,
880,1953-May,
881,1953-Jun,
882,1953-Jul,
883,1953-Aug,
884,1953-Sep,
885,1953-Oct,
886,1953-Nov,
887,1953-Dec,
888,1954-Jan,
