,datetime,Obs
575,1927-12,
576,1928-01,
577,1928-02,
578,1928-03,
579,1928-04,
580,1928-05,
581,1928-06,
582,1928-07,
583,1928-08,
584,1928-09,
585,1928-10,
586,1928-11,
587,1928-12,
588,1929-01,
589,1929-02,
590,1929-03,
591,1929-04,
592,1929-05,
593,1929-06,
594,1929-07,
595,1929-08,
596,1929-09,
597,1929-10,
598,1929-11,
599,1929-12,
600,1930-01,
601,1930-02,
602,1930-03,
603,1930-04,
604,1930-05,
605,1930-06,
606,1930-07,
607,1930-08,
608,1930-09,
609,1930-10,
610,1930-11,
611,1930-12,
612,1931-01,
613,1931-02,
614,1931-03,
615,1931-04,
616,1931-05,
617,1931-06,
618,1931-07,
619,1931-08,
620,1931-09,
621,1931-10,
622,1931-11,
623,1931-12,
624,1932-01,
625,1932-02,
626,1932-03,
627,1932-04,
628,1932-05,
629,1932-06,
630,1932-07,
631,1932-08,
632,1932-09,
633,1932-10,
634,1932-11,
635,1932-12,
636,1933-01,
637,1933-02,
638,1933-03,
639,1933-04,
640,1933-05,
641,1933-06,
642,1933-07,
643,1933-08,
644,1933-09,
645,1933-10,
646,1933-11,
647,1933-12,
648,1934-01,
649,1934-02,
650,1934-03,
651,1934-04,
652,1934-05,
653,1934-06,
654,1934-07,
655,1934-08,
656,1934-09,
657,1934-10,
658,1934-11,
659,1934-12,
660,1935-01,
661,1935-02,
662,1935-03,
663,1935-04,
664,1935-05,
665,1935-06,
666,1935-07,
667,1935-08,
668,1935-09,
669,1935-10,
670,1935-11,
671,1935-12,
672,1936-01,
673,1936-02,
674,1936-03,
675,1936-04,
676,1936-05,
677,1936-06,
678,1936-07,
679,1936-08,
680,1936-09,
681,1936-10,
682,1936-11,
683,1936-12,
684,1937-01,
685,1937-02,
686,1937-03,
687,1937-04,
688,1937-05,
689,1937-06,
690,1937-07,
691,1937-08,
692,1937-09,
693,1937-10,
694,1937-11,
695,1937-12,
696,1938-01,
697,1938-02,
698,1938-03,
699,1938-04,
700,1938-05,
701,1938-06,
702,1938-07,
703,1938-08,
704,1938-09,
705,1938-10,
706,1938-11,
707,1938-12,
708,1939-01,
709,1939-02,
710,1939-03,
711,1939-04,
712,1939-05,
713,1939-06,
714,1939-07,
715,1939-08,
716,1939-09,
717,1939-10,
718,1939-11,
719,1939-12,
720,1940-01,
721,1940-02,
722,1940-03,
723,1940-04,
724,1940-05,
725,1940-06,
726,1940-07,
727,1940-08,
728,1940-09,
729,1940-10,
730,1940-11,
731,1940-12,
732,1941-01,
733,1941-02,
734,1941-03,
735,1941-04,
736,1941-05,
737,1941-06,
738,1941-07,
739,1941-08,
740,1941-09,
741,1941-10,
742,1941-11,
743,1941-12,
744,1942-01,
745,1942-02,
746,1942-03,
747,1942-04,
748,1942-05,
749,1942-06,
750,1942-07,
751,1942-08,
752,1942-09,
753,1942-10,
754,1942-11,
755,1942-12,
756,1943-01,
757,1943-02,
758,1943-03,
759,1943-04,
760,1943-05,
761,1943-06,
762,1943-07,
763,1943-08,
764,1943-09,
765,1943-10,
766,1943-11,
767,1943-12,
768,1944-01,
769,1944-02,
770,1944-03,
771,1944-04,
772,1944-05,
773,1944-06,
774,1944-07,
775,1944-08,
776,1944-09,
777,1944-10,
778,1944-11,
779,1944-12,
780,1945-01,
781,1945-02,
782,1945-03,
783,1945-04,
784,1945-05,
785,1945-06,
786,1945-07,
787,1945-08,
788,1945-09,
789,1945-10,
790,1945-11,
791,1945-12,
792,1946-01,
793,1946-02,
794,1946-03,
795,1946-04,
796,1946-05,
797,1946-06,
798,1946-07,
799,1946-08,
800,1946-09,
801,1946-10,
802,1946-11,
803,1946-12,
804,1947-01,
805,1947-02,
806,1947-03,
807,1947-04,
808,1947-05,
809,1947-06,
810,1947-07,
811,1947-08,
812,1947-09,
813,1947-10,
814,1947-11,
815,1947-12,
816,1948-01,
817,1948-02,
818,1948-03,
819,1948-04,
820,1948-05,
821,1948-06,
822,1948-07,
823,1948-08,
824,1948-09,
825,1948-10,
826,1948-11,
827,1948-12,
828,1949-01,
829,1949-02,
830,1949-03,
831,1949-04,
832,1949-05,
833,1949-06,
834,1949-07,
835,1949-08,
836,1949-09,
837,1949-10,
838,1949-11,
839,1949-12,
840,1950-01,
841,1950-02,
842,1950-03,
843,1950-04,
844,1950-05,
845,1950-06,
846,1950-07,
847,1950-08,
848,1950-09,
849,1950-10,
850,1950-11,
851,1950-12,
852,1951-01,
853,1951-02,
854,1951-03,
855,1951-04,
856,1951-05,
857,1951-06,
858,1951-07,
859,1951-08,
860,1951-09,
861,1951-10,
862,1951-11,
863,1951-12,
864,1952-01,
865,1952-02,
866,1952-03,
867,1952-04,
868,1952-05,
869,1952-06,
870,1952-07,
871,1952-08,
872,1952-09,
873,1952-10,
874,1952-11,
875,1952-12,
876,1953-01,
877,1953-02,
878,1953-03,
879,1953-04,
880,1953-05,
881,1953-06,
882,1953-07,
883,1953-08,
884,1953-09,
885,1953-10,
886,1953-11,
887,1953-12,
888,1954-01,
889,1954-02,
890,1954-03,
891,1954-04,
892,1954-05,
893,1954-06,
894,1954-07,
895,1954-08,
896,1954-09,
897,1954-10,
898,1954-11,
899,1954-12,
900,1955-01,
901,1955-02,
902,1955-03,
903,1955-04,
904,1955-05,
905,1955-06,
906,1955-07,
907,1955-08,
908,1955-09,
909,1955-10,
910,1955-11,
911,1955-12,
912,1956-01,
913,1956-02,
914,1956-03,
915,1956-04,
916,1956-05,
917,1956-06,
918,1956-07,
919,1956-08,
920,1956-09,
921,1956-10,
922,1956-11,
923,1956-12,
924,1957-01,
925,1957-02,
926,1957-03,
927,1957-04,
