,datetime,Obs
516,1993-01,
517,1993-02,
518,1993-03,
519,1993-04,
520,1993-05,
521,1993-06,
522,1993-07,
523,1993-08,
524,1993-09,
525,1993-10,
526,1993-11,
527,1993-12,
528,1994-01,
529,1994-02,
530,1994-03,
531,1994-04,
532,1994-05,
533,1994-06,
534,1994-07,
535,1994-08,
536,1994-09,
537,1994-10,
538,1994-11,
539,1994-12,
540,1995-01,
541,1995-02,
542,1995-03,
543,1995-04,
544,1995-05,
545,1995-06,
546,1995-07,
547,1995-08,
548,1995-09,
549,1995-10,
550,1995-11,
551,1995-12,
552,1996-01,
553,1996-02,
554,1996-03,
555,1996-04,
556,1996-05,
557,1996-06,
558,1996-07,
559,1996-08,
560,1996-09,
561,1996-10,
562,1996-11,
563,1996-12,
564,1997-01,
565,1997-02,
566,1997-03,
567,1997-04,
568,1997-05,
569,1997-06,
570,1997-07,
571,1997-08,
572,1997-09,
573,1997-10,
574,1997-11,
575,1997-12,
576,1998-01,
577,1998-02,2.4761384210646877
578,1998-03,
579,1998-04,
580,1998-05,
581,1998-06,
582,1998-07,
583,1998-08,
584,1998-09,
585,1998-10,
586,1998-11,
587,1998-12,
588,1999-01,
589,1999-02,
590,1999-03,
591,1999-04,
592,1999-05,
593,1999-06,
594,1999-07,
595,1999-08,
596,1999-09,
597,1999-10,
598,1999-11,
599,1999-12,
600,2000-01,
601,2000-02,
602,2000-03,
603,2000-04,
604,2000-05,
605,2000-06,
606,2000-07,
607,2000-08,
608,2000-09,
609,2000-10,
610,2000-11,
611,2000-12,
612,2001-01,
613,2001-02,
614,2001-03,
615,2001-04,
616,2001-05,
617,2001-06,
618,2001-07,
619,2001-08,
620,2001-09,
621,2001-10,
622,2001-11,
623,2001-12,
624,2002-01,
625,2002-02,
626,2002-03,
627,2002-04,
628,2002-05,
629,2002-06,
630,2002-07,
631,2002-08,
632,2002-09,
633,2002-10,
634,2002-11,
635,2002-12,
636,2003-01,
637,2003-02,
638,2003-03,
639,2003-04,
640,2003-05,
641,2003-06,
642,2003-07,
643,2003-08,
644,2003-09,
645,2003-10,
646,2003-11,
647,2003-12,
648,2004-01,
649,2004-02,
650,2004-03,
651,2004-04,2.670428597557864
652,2004-05,0.12906410640848875
653,2004-06,-3.270629919521019
654,2004-07,3.3501719564032797
655,2004-08,5.156898928275584
656,2004-09,8.644107814827514
657,2004-10,0.6736279854858829
658,2004-11,-1.6885182114795327
659,2004-12,-1.417731993695572
660,2005-01,1.0221913650343346
661,2005-02,-4.800347417002634
662,2005-03,-2.306340404317771
663,2005-04,1.0091813915119054
664,2005-05,2.215621756229311
665,2005-06,5.594797337278269
666,2005-07,3.3224925063894055
667,2005-08,4.274863814687045
668,2005-09,2.630436408973953
669,2005-10,1.5305765215530336
670,2005-11,6.7946245721109335
671,2005-12,5.0380477565272095
672,2006-01,5.330889633809253
673,2006-02,2.64055239257978
674,2006-03,-3.236580542033872
675,2006-04,2.244343460850315
676,2006-05,0.3654773335456021
677,2006-06,3.069137796221753
678,2006-07,4.438223556077251
679,2006-08,0.5383377536262834
680,2006-09,1.59127807738761
681,2006-10,1.1085338263711115
682,2006-11,2.066128215063646
683,2006-12,4.137959738939376
684,2007-01,5.5570407204834105
685,2007-02,-0.32052238973600744
686,2007-03,4.8815013883274645
687,2007-04,-3.445105653614826
688,2007-05,1.5697882506791458
689,2007-06,0.7297968110537383
690,2007-07,1.1371073416388562
691,2007-08,-0.5131024695889614
692,2007-09,-1.5326615809997683
693,2007-10,2.0155532695607015
694,2007-11,0.34633234765911425
695,2007-12,3.0312761133716712
696,2008-01,4.63233705875443
697,2008-02,2.4767808453595084
698,2008-03,2.935902596925146
699,2008-04,0.179367520874127
700,2008-05,-1.7289236041599754
701,2008-06,0.4905148142415001
702,2008-07,-0.40109613842768965
703,2008-08,-2.6476363658661874
704,2008-09,-2.960425797555514
705,2008-10,2.4217022630624037
706,2008-11,-0.37128879362493805
707,2008-12,4.436815864981888
708,2009-01,0.8557315735373727
709,2009-02,0.12063654779255018
710,2009-03,1.0745600451960655
711,2009-04,0.5379554986694917
712,2009-05,0.5702335236630702
713,2009-06,-3.356404490014892
714,2009-07,-1.4656773334274398
715,2009-08,-1.0218943854232023
716,2009-09,-6.205817724287806
717,2009-10,-4.911843182175547
718,2009-11,-6.0481736157674515
719,2009-12,-8.643793775833315
720,2010-01,-8.80113337069395
721,2010-02,-7.71292036356431
722,2010-03,-4.925978057424139
723,2010-04,-1.5380314133196844
724,2010-05,0.9232603655847491
725,2010-06,2.62182424009627
726,2010-07,0.501961604573939
727,2010-08,0.7564962823544406
728,2010-09,3.8478007946463713
729,2010-10,1.5332829768395762
730,2010-11,-3.2300583291405474
731,2010-12,-9.613251921957348
732,2011-01,-2.3676253020790394
733,2011-02,-0.7067551345138536
734,2011-03,2.1647696551497084
735,2011-04,4.1031507628232635
736,2011-05,-0.7726080652654428
737,2011-06,-2.1763136069828306
738,2011-07,-1.498578439713956
739,2011-08,-0.8991249026527335
740,2011-09,1.1624660706137995
741,2011-10,0.7263431805662073
742,2011-11,-2.1308155723207562
743,2011-12,2.3681269410352783
744,2012-01,-1.7311084447885232
745,2012-02,-0.2136997541860719
746,2012-03,3.56130732827123
747,2012-04,-0.9187187195360718
748,2012-05,-3.7589847453472363
749,2012-06,-7.2567041624080115
750,2012-07,-1.0029643117119562
751,2012-08,-2.068264126437324
752,2012-09,-2.4671678973376334
753,2012-10,-2.3842845973832993
754,2012-11,-3.5351142369953923
755,2012-12,-0.27963138006816735
756,2013-01,-3.622449407401298
757,2013-02,-0.4529973908877931
758,2013-03,-8.311301949062118
759,2013-04,-0.4052267875919586
760,2013-05,1.2824904168617302
761,2013-06,3.3137971148462526
762,2013-07,-2.4327167970119525
763,2013-08,0.8745638895326842
764,2013-09,-0.583195877102682
765,2013-10,-1.738276706891714
766,2013-11,2.6034761380122404
767,2013-12,0.09286556404288149
768,2014-01,-1.390720304071987
769,2014-02,0.3028954417230345
770,2014-03,-0.14185791746468013
771,2014-04,-1.1860556764364123
772,2014-05,-2.208653468200838
773,2014-06,0.8105918796728524
774,2014-07,-1.3713807091004746
775,2014-08,-3.6131078083137425
776,2014-09,-1.7617963214724757
777,2014-10,-0.5317728847983965
778,2014-11,0.32202073228821604
779,2014-12,-2.2131832473539035
780,2015-01,-0.9402336447461312
781,2015-02,-1.5765600620786238
782,2015-03,6.565636493567467
783,2015-04,1.555606194614052
784,2015-05,-1.7436958960099869
785,2015-06,1.3185282241789054
786,2015-07,-3.0881241011919283
787,2015-08,-0.4778231344902899
788,2015-09,-2.1766815739014778
789,2015-10,-1.0922600132284899
790,2015-11,3.5604453904070112
791,2015-12,0.6999974255227635
792,2016-01,-4.107367770720932
793,2016-02,1.9060881218880414
794,2016-03,0.3819952028113338
795,2016-04,-1.9591862743142432
796,2016-05,-0.96698732424586
797,2016-06,-2.2370482316035147
798,2016-07,-1.0004512737201061
799,2016-08,1.5438060314532187
800,2016-09,2.5866564875769917
801,2016-10,-0.25746201778703437
802,2016-11,0.9119862447473892
803,2016-12,0.22859069000288557
804,2017-01,-1.2907607520873459
805,2017-02,0.891239276198247
806,2017-03,3.8263405018256265
807,2017-04,-3.459835648819954
808,2017-05,-0.24978052843963283
809,2017-06,-0.029135012550671746
810,2017-07,-0.3446041179982444
811,2017-08,-1.086503817574659
812,2017-09,-2.494812065682451
813,2017-10,-0.3686441564305305
814,2017-11,0.3989551190400107
815,2017-12,2.133912224484355
816,2018-01,6.8532086449704295
817,2018-02,4.969471465363446
818,2018-03,-6.469954341771447
819,2018-04,0.6121267467321339
820,2018-05,4.373697878696909
821,2018-06,0.3772472054913294
822,2018-07,0.02390347387033387
823,2018-08,0.4585312444357825
824,2018-09,
825,2018-10,
826,2018-11,
827,2018-12,
828,2019-01,
829,2019-02,
830,2019-03,
831,2019-04,
832,2019-05,
833,2019-06,
834,2019-07,
835,2019-08,
836,2019-09,
837,2019-10,
838,2019-11,
839,2019-12,
